date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
11/6/2013,2014,0,,BOS,UTA,1455.3893,1488.7283,0.594772794,0.405227206,1463.374,1480.7435,,,,,,,,,,,97,87,33,,
11/6/2013,2014,0,,SAS,PHO,1665.9697,1415.3597,0.882702357,0.117297643,1666.994,1414.3354,,,,,,,,,,,99,96,60,,
11/6/2013,2014,0,,MEM,NOP,1607.2908,1402.791,0.852310871,0.147689129,1576.9496,1433.1322,,,,,,,,,,,84,99,45,,
11/7/2013,2014,0,,HOU,LAL,1580.8964,1497.1838,0.742219148,0.257780852,1573.8627,1504.2175,,,,,,,,,,,98,99,64,,
11/7/2013,2014,0,,MIA,LAC,1689.5758,1586.4226,0.76304447,0.23695553,1692.4447,1583.5537,,,,,,,,,,,102,97,94,,
11/7/2013,2014,0,,DEN,ATL,1568.9944,1490.6489,0.736263821,0.263736179,1571.2249,1488.4185,,,,,,,,,,,109,107,59,,
11/8/2013,2014,0,,IND,TOR,1607.224,1481.9783,0.785265328,0.214734672,1610.2854,1478.9169,,,,,,,,,,,91,84,65,,
11/8/2013,2014,0,,ORL,BOS,1365.9064,1463.374,0.503644352,0.496355648,1361.0294,1468.251,,,,,,,,,,,89,91,12,,
11/8/2013,2014,0,,SAS,GSW,1666.994,1601.6272,0.721502713,0.278497287,1669.3708,1599.2504,,,,,,,,,,,76,74,94,,
11/8/2013,2014,0,,PHO,DEN,1414.3354,1571.2249,0.418853347,0.581146653,1427.7441,1557.8162,,,,,,,,,,,114,103,41,,
11/8/2013,2014,0,,POR,SAC,1451.6138,1419.7626,0.681135828,0.318864172,1458.6821,1412.6942,,,,,,,,,,,104,91,19,,
11/8/2013,2014,0,,MIN,DAL,1493.0049,1537.0171,0.579882651,0.420117349,1500.3066,1529.7153,,,,,,,,,,,116,108,53,,
11/8/2013,2014,0,,WAS,BRK,1458.9458,1528.5015,0.543701077,0.456298923,1464.5802,1522.8671,,,,,,,,,,,112,108,43,,
11/8/2013,2014,0,,NOP,LAL,1433.1322,1504.2175,0.541515795,0.458484205,1443.001,1494.3488,,,,,,,,,,,96,85,32,,
11/8/2013,2014,0,,DET,OKC,1415.3909,1632.0886,0.338101525,0.661898475,1409.3708,1638.1086,,,,,,,,,,,110,119,53,,
11/8/2013,2014,0,,PHI,CLE,1448.3662,1370.1068,0.736167568,0.263832432,1454.5837,1363.8893,,,,,,,,,,,94,79,11,,
11/8/2013,2014,0,,CHI,UTA,1509.1942,1480.7435,0.676869378,0.323130622,1520.1075,1469.8302,,,,,,,,,,,97,73,44,,
11/8/2013,2014,0,,CHO,NYK,1367.7906,1545.418,0.39010777,0.60989223,1360.1674,1553.0413,,,,,,,,,,,91,101,25,,
11/9/2013,2014,0,,MEM,GSW,1576.9496,1599.2504,0.609990563,0.390009437,1588.1344,1588.0656,,,,,,,,,,,108,90,83,,
11/9/2013,2014,0,,SAC,POR,1412.6942,1458.6821,0.577109475,0.422890525,1399.4108,1471.9656,,,,,,,,,,,85,96,19,,
11/9/2013,2014,0,,MIA,BOS,1692.4447,1468.251,0.866019012,0.133980988,1682.9924,1477.7032,,,,,,,,,,,110,111,78,,
11/9/2013,2014,0,,HOU,LAC,1573.8627,1583.5537,0.627115121,0.372884879,1557.2981,1600.1183,,,,,,,,,,,94,107,80,,
11/9/2013,2014,0,,BRK,IND,1522.8671,1610.2854,0.518098611,0.481901389,1515.5009,1617.6516,,,,,,,,,,,91,96,75,,
11/9/2013,2014,0,,MIL,DAL,1448.3724,1529.7153,0.526823947,0.473176053,1438.6611,1539.4266,,,,,,,,,,,83,91,41,,
11/9/2013,2014,0,,CLE,PHI,1363.8893,1454.5837,0.513388634,0.486611366,1368.557,1449.916,,,,,,,,,,,127,125,11,,
11/9/2013,2014,0,,ATL,ORL,1488.4185,1361.0294,0.787338552,0.212661448,1492.153,1357.2949,,,,,,,,,,,104,94,15,,
11/9/2013,2014,0,,TOR,UTA,1478.9169,1469.8302,0.652025285,0.347974715,1490.8367,1457.9104,,,,,,,,,,,115,91,34,,
11/10/2013,2014,0,,NYK,SAS,1553.0413,1669.3708,0.476517249,0.523482751,1531.9747,1690.4374,,,,,,,,,,,89,120,89,,
11/10/2013,2014,0,,LAL,MIN,1494.3488,1500.3066,0.632126504,0.367873496,1469.6475,1525.0079,,,,,,,,,,,90,113,45,,
11/10/2013,2014,0,,OKC,WAS,1638.1086,1464.5802,0.828432138,0.171567862,1639.2466,1463.4423,,,,,,,,,,,106,105,68,,
11/10/2013,2014,0,,PHO,NOP,1427.7441,1443.001,0.619592863,0.380407137,1433.7383,1437.0068,,,,,,,,,,,101,94,19,,
11/11/2013,2014,0,,PHI,SAS,1449.916,1690.4374,0.308123626,0.691876374,1439.5999,1700.7535,,,,,,,,,,,85,109,74,,
11/11/2013,2014,0,,HOU,TOR,1557.2981,1490.8367,0.72276705,0.27723295,1561.0818,1487.053,,,,,,,,,,,110,104,57,,
